onset	duration	trial_type	stimulus_type
9	0.5	Instruction	5
13	0	Correct	5
15	0.5	Instruction	10
18.7	0	Error	10
22	0.5	Instruction	6
25.8	0	Correct	6
30	0.5	Instruction	15
32.8	0	Correct	15
37	0.5	Instruction	8
39.8	0	Correct	8
44	0.5	Instruction	3
45.9	0	Correct	3
48	0.5	Instruction	16
51.8	0	Correct	16
56	0.5	Instruction	4
59.8	0	Correct	4
63	0.5	Instruction	12
65.8	0	Correct	12
68	0.5	Instruction	1
70.8	0	Correct	1
73	0.5	Instruction	7
75.3	0	Error	7
79	0.5	Instruction	13
82.8	0	Correct	13
86	0.5	Instruction	2
87.9	0	Correct	2
90	0.5	Instruction	9
91.8	0	Error	9
94	0.5	Instruction	11
97.8	0	Correct	11
101	0.5	Instruction	14
103.8	0	Correct	14
118	0.5	Instruction	7
121.9	0	Correct	7
124	0.5	Instruction	4
126.8	0	Correct	4
130	0.5	Instruction	16
132.8	0	Error	16
137	0.5	Instruction	10
139.1	0	Error	10
141	0.5	Instruction	5
144.8	0	Correct	5
148	0.5	Instruction	11
151.8	0	Correct	11
155	0.5	Instruction	9
157.8	0	Correct	9
160	0.5	Instruction	6
163.8	0	Correct	6
173	0.5	Instruction	1
176.8	0	Correct	1
181	0.5	Instruction	14
183.1	0	Correct	14
187	0.5	Instruction	8
189.1	0	Correct	8
193	0.5	Instruction	13
195.3	0	Correct	13
198	0.5	Instruction	2
199.8	0	Correct	2
202	0.5	Instruction	3
205.8	0	Correct	3
208	0.5	Instruction	12
210.2	0	Correct	12
224	0.5	Instruction	15
226.8	0	Correct	15
229	0.5	Instruction	14
231.2	0	Correct	14
235	0.5	Instruction	12
237.1	0	Error	12
239	0.5	Instruction	10
240.9	0	Correct	10
244	0.5	Instruction	7
248.1	0	Error	7
251	0.5	Instruction	4
254.8	0	Correct	4
258	0.5	Instruction	16
261	0	Correct	16
265	0.5	Instruction	8
268.8	0	Correct	8
272	0.5	Instruction	11
275	0	Correct	11
278	0.5	Instruction	6
280.9	0	Error	6
283	0.5	Instruction	13
285.8	0	Error	13
289.1	0.5	Instruction	3
292.8	0	Correct	3
296.1	0.5	Instruction	5
297.9	0	Correct	5
302.1	0.5	Instruction	2
304.8	0	Correct	2
309.1	0.5	Instruction	1
310.9	0	Correct	1
314.1	0.5	Instruction	9
316.9	0	Correct	9
320.1	0.5	Instruction	15
322.8	0	Correct	15
165.5	7	Change_rule	0
106.5	11	Baseline	0
211.5	12	Baseline	0
326.6	10	Baseline	0
